Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.02,361.25,10.0000,14.9989,10.0000,-0.03,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,18.0168,10.3499,9.6170,18.0168,10.3599,0.00,0.00,0.00,10.6171,18.0168,10.3599,0.00,0.00,0.00,250.0000,14.9987,280.0000,-0.06,100.00,180.00,0.00,180.00,0.00,0.00
0.07,361.25,10.0000,14.9804,10.0000,0.35,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,17.9983,10.3499,9.6170,17.9983,10.3599,0.00,0.00,0.00,10.6171,17.9983,10.3599,0.00,0.00,0.00,250.0000,14.9771,280.0000,0.41,100.00,180.00,0.00,180.00,0.00,0.00
0.13,361.25,10.0000,14.9411,10.0000,0.71,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,17.9590,10.3499,9.6170,17.9590,10.3599,0.00,0.00,0.00,10.6171,17.9590,10.3599,0.00,0.00,0.00,250.0000,14.9253,280.0000,0.93,100.00,180.00,0.00,180.00,0.00,0.00
0.19,361.25,10.0000,14.8854,10.0000,0.98,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,17.9033,10.3499,9.6170,17.9033,10.3599,0.00,0.00,0.00,10.6171,17.9033,10.3599,0.00,0.00,0.00,250.0000,14.8431,280.0000,1.44,100.00,180.00,0.00,180.00,0.00,0.00
0.25,361.25,10.0000,14.8113,10.0000,1.19,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,17.8292,10.3499,9.6170,17.8292,10.3599,0.00,0.00,0.00,10.6171,17.8292,10.3599,0.00,0.00,0.00,250.0000,14.7201,280.0000,1.97,100.00,180.00,0.00,180.00,0.00,0.00
0.31,361.25,10.0000,14.7209,10.0028,1.35,100.00,2.49,0.00,2.49,0.00,0.00,10.0223,17.7388,10.3521,9.6331,17.7388,10.3790,0.00,0.00,2.49,10.6321,17.7388,10.3355,0.00,0.00,2.49,250.0000,14.5514,280.0000,2.53,100.00,180.00,0.00,180.00,0.00,0.00
0.36,361.24,10.0003,14.6575,10.0091,1.47,100.00,6.32,0.00,5.16,0.00,0.00,10.0388,17.6754,10.3569,9.6523,17.6754,10.4098,0.00,0.00,6.32,10.6462,17.6754,10.2997,0.00,0.00,6.32,250.0000,14.4212,280.0000,3.00,100.00,180.00,0.00,180.00,0.00,0.00
0.42,361.24,10.0003,14.5661,10.0091,1.53,100.00,7.91,0.00,5.16,0.00,0.00,10.0388,17.5840,10.3569,9.6539,17.5840,10.4205,0.00,0.00,7.91,10.6444,17.5840,10.2829,0.00,0.00,7.91,250.0000,14.2177,280.0000,3.41,100.00,180.00,0.00,180.00,0.00,0.00
0.48,361.24,10.0003,14.4698,10.0091,1.60,100.00,9.28,0.00,5.16,0.00,0.00,10.0388,17.4877,10.3569,9.6555,17.4877,10.4297,0.00,0.00,9.28,10.6424,17.4877,10.2685,0.00,0.00,9.28,250.0000,13.9829,280.0000,3.89,100.00,180.00,0.00,180.00,0.00,0.00
0.54,361.24,10.0005,14.3719,10.0118,1.64,100.00,13.04,0.00,7.58,0.00,0.00,10.0537,17.3898,10.3576,9.6760,17.3898,10.4554,0.00,0.00,13.04,10.6502,17.3898,10.2297,0.00,0.00,13.04,250.0000,13.7235,280.0000,4.35,100.00,180.00,0.00,180.00,0.00,0.00
0.60,361.24,10.0012,14.2675,10.0169,1.68,100.00,16.45,0.00,9.97,0.00,0.00,10.0687,17.2854,10.3603,9.6975,17.2854,10.4804,0.00,0.00,16.45,10.6566,17.2854,10.1971,0.00,0.00,16.45,250.0000,13.4242,280.0000,4.81,100.00,180.00,0.00,180.00,0.00,0.00
0.66,361.24,10.0012,14.1598,10.0169,1.70,100.00,17.50,0.00,9.97,0.00,0.00,10.0687,17.1777,10.3603,9.6998,17.1777,10.4871,0.00,0.00,17.50,10.6535,17.1777,10.1864,0.00,0.00,17.50,250.0000,13.0913,280.0000,5.26,100.00,180.00,0.00,180.00,0.00,0.00
0.73,361.24,10.0012,14.0459,10.0169,1.72,100.00,17.88,0.00,9.97,0.00,0.00,10.0687,17.0638,10.3603,9.7006,17.0638,10.4895,0.00,0.00,17.88,10.6523,17.0638,10.1825,0.00,0.00,17.88,250.0000,12.7130,280.0000,5.71,100.00,180.00,0.00,180.00,0.00,0.00
0.79,361.23,10.0018,13.9338,10.0201,1.73,100.00,20.90,0.00,12.62,0.00,0.00,10.0851,16.9517,10.3600,9.7243,16.9517,10.5084,0.00,0.00,20.90,10.6585,16.9517,10.1517,0.00,0.00,20.90,250.0383,12.4072,279.9655,4.80,100.00,180.40,-2.30,180.40,2.30,4.27
0.86,361.23,10.0031,13.8201,10.0261,1.75,100.00,23.40,0.00,15.20,0.00,0.00,10.1017,16.8379,10.3619,9.7477,16.8379,10.5259,0.00,0.00,23.40,10.6655,16.8379,10.1288,0.00,0.00,23.40,250.0837,12.1307,279.9243,4.34,100.00,181.14,-5.68,181.14,5.68,10.76
0.93,361.20,10.0031,13.7027,10.0261,1.75,100.00,23.30,0.00,15.20,0.00,0.00,10.1017,16.7206,10.3619,9.7474,16.7206,10.5253,0.00,0.00,23.30,10.6658,16.7206,10.1297,0.00,0.00,23.30,250.0767,11.9490,279.8882,2.76,100.00,182.28,-10.38,182.28,10.38,13.35
0.99,361.15,10.0031,13.5857,10.0261,1.75,100.00,22.85,0.00,15.20,0.00,0.00,10.1017,16.6036,10.3619,9.7461,16.6036,10.5225,0.00,0.00,22.85,10.6677,16.6036,10.1342,0.00,0.00,22.85,250.0702,12.0015,279.8353,1.12,100.00,183.12,-14.10,183.12,14.10,11.95
1.06,361.13,10.0040,13.4659,10.0292,1.76,100.00,25.05,0.00,17.87,0.00,0.00,10.1180,16.4838,10.3600,9.7689,16.4838,10.5343,0.00,0.00,25.05,10.6749,16.4838,10.1108,0.00,0.00,25.05,250.0839,12.0611,279.7993,1.04,100.00,183.52,-15.77,183.52,15.77,12.08
1.13,361.12,10.0060,13.3502,10.0356,1.76,100.00,27.08,0.00,20.60,0.00,0.00,10.1357,16.3681,10.3606,9.7930,16.3681,10.5471,0.00,0.00,27.08,10.6834,16.3681,10.0918,0.00,0.00,27.08,250.0905,12.0900,279.7809,0.53,100.00,183.73,-16.60,183.73,16.60,12.14
1.19,361.10,10.0094,13.2333,10.0446,1.77,100.00,29.00,0.00,23.22,0.00,0.00,10.1538,16.2512,10.3633,9.8176,16.2512,10.5612,0.00,0.00,29.00,10.6922,16.2512,10.0763,0.00,0.00,29.00,250.0917,12.0958,279.7771,0.11,100.00,183.76,-16.76,183.76,16.76,12.15
1.26,361.10,10.0145,13.1150,10.0564,1.77,100.00,30.76,0.00,25.88,0.00,0.00,10.1735,16.1329,10.3681,9.8435,16.1329,10.5762,0.00,0.00,30.76,10.7028,16.1329,10.0648,0.00,0.00,30.76,250.0888,12.0811,279.7864,0.26,100.00,183.67,-16.34,183.67,16.34,12.12
1.33,361.09,10.0216,12.9961,10.0711,1.78,100.00,32.54,0.00,28.56,0.00,0.00,10.1951,16.0140,10.3751,9.8717,16.0140,10.5932,0.00,0.00,32.54,10.7147,16.0140,10.0554,0.00,0.00,32.54,250.0824,12.0489,279.8061,0.57,100.00,183.47,-15.43,183.47,15.43,12.07
1.40,361.09,10.0310,12.8768,10.0885,1.79,100.00,33.90,0.00,31.26,0.00,0.00,10.2186,15.8947,10.3839,9.9005,15.8947,10.6097,0.00,0.00,33.90,10.7305,15.8947,10.0520,0.00,0.00,33.90,250.0727,12.0012,279.8341,0.83,100.00,183.17,-14.09,183.17,14.09,12.00
1.46,361.08,10.0430,12.7591,10.1082,1.80,100.00,35.29,0.00,33.96,0.00,0.00,10.2443,15.7770,10.3945,9.9318,15.7770,10.6279,0.00,0.00,35.29,10.7480,15.7770,10.0502,0.00,0.00,35.29,250.0675,11.9560,279.8636,0.81,100.00,182.81,-12.43,182.81,12.43,12.31
1.53,361.07,10.0576,12.6396,10.1298,1.81,100.00,37.96,0.00,36.63,0.00,0.00,10.2720,15.6575,10.4064,9.9706,15.6575,10.6541,0.00,0.00,37.96,10.7591,15.6575,10.0391,0.00,0.00,37.96,250.0728,11.9432,279.8794,0.31,100.00,182.53,-11.22,182.53,11.22,13.01
1.59,361.05,10.0753,12.5270,10.1537,1.83,100.00,40.66,0.00,39.34,0.00,0.00,10.3026,15.5449,10.4198,10.0133,15.5449,10.6815,0.00,0.00,40.66,10.7718,15.5449,10.0299,0.00,0.00,40.66,250.0760,11.9434,279.8841,0.09,100.00,182.42,-10.79,182.42,10.79,13.28
1.66,361.01,10.0950,12.4143,10.1777,1.83,100.00,43.22,0.00,41.89,0.00,0.00,10.3339,15.4322,10.4335,10.0565,15.4322,10.7078,0.00,0.00,43.22,10.7853,15.4322,10.0231,0.00,0.00,43.22,250.0752,11.9432,279.8830,0.02,100.00,182.45,-10.89,182.45,10.89,13.22
1.72,360.98,10.1177,12.3025,10.2030,1.85,100.00,45.77,0.00,44.44,0.00,0.00,10.3677,15.3204,10.4479,10.1029,15.3204,10.7343,0.00,0.00,45.77,10.8004,15.3204,10.0178,0.00,0.00,45.77,250.0727,11.9434,279.8794,0.07,100.00,182.52,-11.22,182.52,11.22,12.99
1.79,360.93,10.1434,12.1814,10.2292,1.84,100.00,45.96,0.00,46.98,0.00,0.00,10.4040,15.1993,10.4628,10.1401,15.1993,10.7501,0.00,0.00,45.96,10.8352,15.1993,10.0312,0.00,0.00,45.96,250.0684,11.9438,279.8735,0.11,100.00,182.65,-11.76,182.65,11.76,12.62
1.86,360.89,10.1750,12.0596,10.2587,1.87,100.00,46.36,0.00,49.72,0.00,0.00,10.4464,15.0775,10.4795,10.1845,15.0775,10.7686,0.00,0.00,46.36,10.8747,15.0775,10.0450,0.00,0.00,46.36,250.0674,11.9460,279.8712,0.05,100.00,182.69,-11.94,182.69,11.94,12.49
