Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.03,260.99,59.3500,7.9977,27.2300,30.07,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0156,27.5799,58.9670,11.0156,27.5899,0.00,0.00,0.00,59.9670,11.0156,27.5899,0.00,0.00,0.00,135.4600,8.9910,276.8700,0.27,100.00,180.00,0.00,180.00,0.00,0.00
0.07,260.99,59.3500,7.9982,27.2300,0.01,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0160,27.5799,58.9670,11.0160,27.5899,0.00,0.00,0.00,59.9670,11.0160,27.5899,0.00,0.00,0.00,135.4600,8.9717,276.8700,0.58,100.00,180.00,0.00,180.00,0.00,0.00
0.10,260.99,59.3500,8.0022,27.2300,0.12,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0201,27.5799,58.9670,11.0201,27.5899,0.00,0.00,0.00,59.9670,11.0201,27.5899,0.00,0.00,0.00,135.4600,8.9425,276.8700,0.88,100.00,180.00,0.00,180.00,0.00,0.00
0.13,260.98,59.3500,7.9899,27.2327,0.38,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0078,27.5826,58.9670,11.0078,27.5926,0.00,0.00,0.00,59.9670,11.0078,27.5926,0.00,0.00,0.00,135.4600,8.9022,276.8700,1.21,100.00,180.00,0.00,180.00,0.00,0.00
0.17,260.98,59.3500,7.9950,27.2381,0.22,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0129,27.5880,58.9670,11.0129,27.5980,0.00,0.00,0.00,59.9670,11.0129,27.5980,0.00,0.00,0.00,135.4600,8.8522,276.8700,1.50,100.00,180.00,0.00,180.00,0.00,0.00
0.20,260.97,59.3500,7.9792,27.2462,0.53,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,10.9971,27.5961,58.9670,10.9971,27.6061,0.00,0.00,0.00,59.9670,10.9971,27.6061,0.00,0.00,0.00,135.4600,8.7926,276.8700,1.79,100.00,180.00,0.00,180.00,0.00,0.00
0.23,260.96,59.3500,7.9853,27.2570,0.37,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0032,27.6069,58.9670,11.0032,27.6169,0.00,0.00,0.00,59.9670,11.0032,27.6169,0.00,0.00,0.00,135.4600,8.7225,276.8700,2.10,100.00,180.00,0.00,180.00,0.00,0.00
0.27,260.95,59.3500,7.9931,27.2705,0.47,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0110,27.6204,58.9670,11.0110,27.6304,0.00,0.00,0.00,59.9670,11.0110,27.6304,0.00,0.00,0.00,135.4600,8.6432,276.8700,2.38,100.00,180.00,0.00,180.00,0.00,0.00
0.30,260.93,59.3500,8.0022,27.2867,0.56,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0201,27.6366,58.9670,11.0201,27.6466,0.00,0.00,0.00,59.9670,11.0201,27.6466,0.00,0.00,0.00,135.4600,8.5549,276.8700,2.65,100.00,180.00,0.00,180.00,0.00,0.00
0.33,260.91,59.3500,7.9826,27.3056,0.82,100.00,0.00,0.00,0.00,0.00,0.00,59.3570,11.0005,27.6555,58.9670,11.0005,27.6655,0.00,0.00,0.00,59.9670,11.0005,27.6655,0.00,0.00,0.00,135.4600,8.5961,276.8699,1.24,100.00,180.00,-0.01,180.00,0.01,0.00
