Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.60,322.06,50.0000,7.9993,5.0000,-0.02,100.00,0.00,0.00,0.00,0.00,0.00,50.0071,11.0172,5.3499,49.6171,11.0172,5.3599,0.00,0.00,0.00,50.6171,11.0172,5.3599,0.00,0.00,0.00,200.0000,8.6400,290.0000,-0.07,100.00,180.00,0.00,180.00,0.00,0.00
0.95,321.93,50.0000,7.9817,5.0000,0.05,100.00,0.00,0.00,0.00,0.00,0.00,50.0071,10.9996,5.3499,49.6171,10.9996,5.3599,0.00,0.00,0.00,50.6171,10.9996,5.3599,0.00,0.00,0.00,199.9024,6.8822,289.9037,5.04,100.00,178.72,-7.32,178.72,7.32,349.80
1.32,321.95,50.0000,7.9697,5.0000,0.03,100.00,0.00,0.00,0.00,0.00,0.00,50.0071,10.9876,5.3499,49.6171,10.9876,5.3599,0.00,0.00,0.00,50.6171,10.9876,5.3599,0.00,0.00,0.00,199.9084,6.8695,289.9199,0.06,100.00,178.94,-6.06,178.94,6.06,350.20
1.67,321.96,50.0000,7.9874,5.0000,0.05,100.00,0.00,0.00,0.00,0.00,0.00,50.0071,11.0053,5.3499,49.6171,11.0053,5.3599,0.00,0.00,0.00,50.6171,11.0053,5.3599,0.00,0.00,0.00,199.9127,6.8666,289.9238,0.02,100.00,179.01,-5.72,179.01,5.72,350.55
2.04,321.85,50.0113,7.9757,5.1192,0.33,100.00,12.71,0.00,12.71,0.00,0.00,50.0951,10.9936,5.4590,49.7169,10.9936,5.5545,0.00,0.00,12.71,50.6924,10.9936,5.3345,0.00,0.00,12.71,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
2.42,321.54,50.1061,7.9697,5.4171,0.82,100.00,31.27,0.00,25.93,0.00,0.00,50.2655,10.9876,5.7287,49.9373,10.9876,5.9397,0.00,0.00,31.27,50.7920,10.9876,5.4206,0.00,0.00,31.27,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
2.84,321.26,50.2412,7.9757,5.6632,0.67,100.00,41.72,0.00,34.07,0.00,0.00,50.4430,10.9936,5.9491,50.1586,10.9936,6.2161,0.00,0.00,41.72,50.9049,10.9936,5.5506,0.00,0.00,41.72,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
3.29,320.70,50.5302,7.9933,6.1385,1.24,100.00,30.85,0.00,23.20,0.00,0.00,50.6745,11.0112,6.4573,50.3448,11.0112,6.6659,0.00,0.00,30.85,51.2033,11.0112,6.1531,0.00,0.00,30.85,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
3.65,319.74,50.8538,7.9815,7.0515,2.64,100.00,21.00,0.00,6.88,0.00,0.00,50.9027,10.9994,7.3980,50.5422,10.9994,7.5471,0.00,0.00,21.00,51.4758,10.9994,7.1887,0.00,0.00,21.00,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
3.97,319.07,50.8914,7.9874,7.7997,2.37,100.00,8.04,0.00,353.55,0.00,0.00,50.8591,11.0053,8.1481,50.4743,11.0053,8.2125,0.00,0.00,8.04,51.4645,11.0053,8.0727,0.00,0.00,8.04,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
4.32,318.24,50.8249,7.9698,8.7675,2.77,100.00,12.25,0.00,2.54,0.00,0.00,50.8475,10.9877,9.1167,50.4685,10.9877,9.2093,0.00,0.00,12.25,51.4457,10.9877,8.9970,0.00,0.00,12.25,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
4.69,317.47,50.8924,7.9933,9.6095,2.30,100.00,18.24,0.00,11.56,0.00,0.00,50.9694,11.0112,9.9509,50.6021,11.0112,10.0824,0.00,0.00,18.24,51.5519,11.0112,9.7695,0.00,0.00,18.24,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
5.00,315.84,51.4039,7.9993,11.1834,5.23,100.00,30.74,0.00,24.89,0.00,0.00,51.5576,11.0172,11.4978,51.2275,11.0172,11.7058,0.00,0.00,30.74,52.0870,11.0172,11.1946,0.00,0.00,30.74,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
5.40,315.11,51.7116,7.9992,11.8466,1.83,100.00,32.99,0.00,24.89,0.00,0.00,51.8653,11.0171,12.1611,51.5436,11.0171,12.3818,0.00,0.00,32.99,52.3824,11.0171,11.8373,0.00,0.00,32.99,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
5.86,314.61,51.9094,7.9761,12.3038,1.10,100.00,37.27,0.00,19.00,0.00,0.00,52.0300,10.9940,12.6323,51.7257,10.9940,12.8765,0.00,0.00,37.27,52.5215,10.9940,12.2709,0.00,0.00,37.27,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
6.26,313.45,52.2512,7.9762,13.4313,2.95,100.00,30.88,0.00,8.18,0.00,0.00,52.3080,10.9941,13.7766,51.9784,10.9941,13.9853,0.00,0.00,30.88,52.8366,10.9941,13.4721,0.00,0.00,30.88,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
6.66,311.84,52.4186,7.9761,15.1756,4.38,100.00,25.05,0.00,2.16,0.00,0.00,52.4388,10.9940,15.5249,52.0897,10.9940,15.6991,0.00,0.00,25.05,52.9957,10.9940,15.2757,0.00,0.00,25.05,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
7.01,311.38,52.4377,7.9938,15.6834,1.45,100.00,25.05,0.00,2.16,0.00,0.00,52.4580,11.0117,16.0328,52.1089,11.0117,16.2070,0.00,0.00,25.05,53.0149,11.0117,15.7836,0.00,0.00,25.05,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
7.36,310.76,52.4656,7.9762,16.3759,1.98,100.00,24.06,0.00,6.73,0.00,0.00,52.5136,10.9940,16.7225,52.1615,10.9940,16.8907,0.00,0.00,24.06,53.0746,10.9940,16.4830,0.00,0.00,24.06,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
7.67,310.41,52.5183,7.9820,16.7399,1.16,100.00,23.36,0.00,13.07,0.00,0.00,52.6043,10.9999,17.0791,52.2502,10.9999,17.2429,0.00,0.00,23.36,53.1682,10.9999,16.8464,0.00,0.00,23.36,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
8.02,309.49,52.7982,7.9997,17.6356,2.68,100.00,29.57,0.00,22.54,0.00,0.00,52.9389,11.0176,17.9560,52.6046,11.0176,18.1572,0.00,0.00,29.57,53.4743,11.0176,17.6637,0.00,0.00,29.57,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
8.34,309.22,52.9063,7.9703,17.8901,0.88,100.00,34.97,0.00,24.42,0.00,0.00,53.0574,10.9882,18.2058,52.7435,10.9882,18.4375,0.00,0.00,34.97,53.5630,10.9882,17.8643,0.00,0.00,34.97,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
8.84,307.78,53.4447,7.9703,19.2339,2.90,100.00,34.01,0.00,15.19,0.00,0.00,53.5432,10.9882,19.5697,53.2255,10.9882,19.7962,0.00,0.00,34.01,54.0544,10.9882,19.2368,0.00,0.00,34.01,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
9.19,306.37,53.7787,7.9880,20.6503,4.16,100.00,29.00,0.00,7.57,0.00,0.00,53.8318,11.0059,20.9962,53.4955,11.0059,21.1940,0.00,0.00,29.00,54.3702,11.0059,20.7092,0.00,0.00,29.00,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
9.56,304.71,53.9309,7.9762,22.4579,4.95,100.00,20.77,0.00,359.48,0.00,0.00,53.9348,10.9941,22.8078,53.5737,10.9941,22.9555,0.00,0.00,20.77,54.5087,10.9941,22.6009,0.00,0.00,20.77,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
9.92,303.23,53.9909,7.9997,24.1213,4.54,100.00,20.63,0.00,7.09,0.00,0.00,54.0411,11.0176,24.4676,53.6796,11.0176,24.6144,0.00,0.00,20.63,54.6155,11.0176,24.2621,0.00,0.00,20.63,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
10.32,301.50,54.3116,7.9997,25.9085,4.54,100.00,22.61,0.00,19.44,0.00,0.00,54.4347,11.0176,26.2361,54.0785,11.0176,26.3953,0.00,0.00,22.61,55.0017,11.0176,26.0108,0.00,0.00,22.61,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
10.69,299.47,55.0935,7.9880,27.8021,5.59,100.00,25.19,0.00,22.03,0.00,0.00,55.2313,11.0059,28.1238,54.8826,11.0059,28.2989,0.00,0.00,25.19,55.7875,11.0059,27.8732,0.00,0.00,25.19,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
11.07,297.84,55.6893,7.9821,29.3364,4.29,100.00,26.06,0.00,19.13,0.00,0.00,55.8106,11.0000,29.6646,55.4647,11.0000,29.8450,0.00,0.00,26.06,56.3630,11.0000,29.4057,0.00,0.00,26.06,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
11.52,295.79,56.3416,7.9997,31.3207,4.64,100.00,30.06,0.00,15.33,0.00,0.00,56.4409,11.0176,31.6563,56.1084,11.0176,31.8603,0.00,0.00,30.06,56.9738,11.0176,31.3593,0.00,0.00,30.06,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
11.91,291.63,57.3402,8.0107,35.5252,11.27,100.00,28.37,0.35,10.52,359.32,359.00,57.4560,11.0320,35.8229,57.1177,11.0399,36.0169,358.84,359.65,28.37,57.9974,11.0197,35.5420,358.84,359.65,28.37,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
12.27,289.77,57.6912,8.0146,37.4643,5.37,100.00,29.44,0.49,10.69,358.96,358.48,57.8315,11.0371,37.7382,57.4969,11.0492,37.9384,358.23,359.51,29.44,58.3675,11.0183,37.4474,358.23,359.51,29.44,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
12.77,286.17,58.5590,8.0821,41.1043,7.48,100.00,31.71,0.01,18.15,359.38,357.48,58.7906,11.1004,41.3620,58.4644,11.1181,41.5753,357.40,359.99,31.71,59.3142,11.0728,41.0503,357.40,359.99,31.71,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
13.12,283.06,59.6163,8.1767,44.0877,9.05,100.00,34.79,0.52,23.63,358.59,355.53,59.9487,11.1926,44.2432,59.6350,11.2243,44.4730,355.34,359.48,34.79,60.4540,11.1431,43.9049,355.34,359.48,34.79,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
13.46,279.42,61.0742,8.2798,47.4447,10.98,100.00,33.66,1.45,23.13,357.50,354.52,61.4318,11.2956,47.5297,61.1138,11.3356,47.7522,354.15,358.55,33.66,61.9433,11.2337,47.2030,354.15,358.55,33.66,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
13.87,276.22,62.3342,8.5025,50.4056,7.74,100.00,33.29,3.48,20.88,354.64,351.86,62.7645,11.5086,50.3155,62.4460,11.5708,50.5321,350.90,356.52,33.29,63.2767,11.4129,49.9982,350.90,356.52,33.29,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
14.24,271.73,63.8571,9.0701,54.7242,12.50,100.00,29.72,6.33,15.53,351.13,350.79,64.2990,12.0663,54.4838,63.9675,12.1420,54.6750,348.90,353.67,29.72,64.8302,11.9507,54.2069,348.90,353.67,29.72,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
14.61,267.41,64.9401,9.7158,59.0891,12.47,100.00,26.92,5.38,10.83,352.59,353.71,65.2644,12.7348,58.9866,64.9223,12.7904,59.1656,351.90,354.62,26.92,65.8110,12.6502,58.7292,351.90,354.62,26.92,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
15.01,263.32,65.8609,10.0685,63.3006,10.82,100.00,21.55,0.93,21.31,359.05,355.84,66.1806,13.0833,63.4979,65.8223,13.1118,63.6497,355.83,359.07,21.55,66.7504,13.0391,63.2843,355.83,359.07,21.55,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
15.31,260.35,67.1102,10.0666,66.0099,9.83,100.00,25.82,-1.15,30.74,1.20,359.57,67.3466,13.0764,66.3495,66.9999,13.0798,66.5284,359.47,1.15,25.82,67.9000,13.0706,66.0928,359.47,1.15,25.82,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
15.67,256.73,69.0804,9.9602,69.0567,10.00,100.00,30.82,-2.28,40.29,2.03,1.68,69.3137,12.9627,69.4575,68.9839,12.9533,69.6655,1.32,2.28,30.82,69.8428,12.9763,69.1540,1.32,2.28,30.82,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
16.01,252.58,71.9989,9.8593,72.1490,12.76,100.00,36.60,-2.07,46.34,1.76,1.98,72.2518,12.8635,72.5247,71.9445,12.8519,72.7648,1.65,2.07,36.60,72.7476,12.8807,72.1696,1.65,2.07,36.60,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
16.39,249.47,74.3546,9.7910,74.3689,8.45,100.00,35.71,-1.76,41.08,1.49,2.99,74.5224,12.7950,74.7906,74.2117,12.7754,75.0256,2.84,1.76,35.71,75.0235,12.8250,74.4438,2.84,1.76,35.71,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
16.71,248.33,75.1233,9.7729,75.2507,3.69,100.00,36.82,-1.29,38.58,1.22,2.16,75.2983,12.7808,75.6410,74.9921,12.7661,75.8823,2.12,1.29,36.82,75.7926,12.8031,75.2841,2.12,1.29,36.82,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
17.12,242.83,78.3378,9.6945,79.7370,13.25,100.00,27.41,-0.76,30.51,0.69,1.38,78.4773,12.7073,80.1029,78.1358,12.6980,80.2912,1.34,0.76,27.41,79.0234,12.7214,79.8312,1.34,0.76,27.41,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
17.49,239.22,80.1473,9.6759,82.8673,9.86,100.00,26.38,-0.36,29.48,0.30,1.19,80.2786,12.6915,83.2129,79.9337,12.6834,83.3951,1.18,0.36,26.38,80.8294,12.7039,82.9509,1.18,0.36,26.38,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
17.94,234.96,82.2393,9.6801,86.5682,9.45,100.00,26.37,0.38,29.47,359.58,0.82,82.3688,12.7003,86.8714,82.0239,12.6946,87.0536,0.85,359.62,26.37,82.9197,12.7094,86.6094,0.85,359.62,26.37,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
18.32,231.54,83.9257,9.7461,89.5528,8.94,100.00,24.21,0.36,29.47,359.56,0.85,84.0535,12.7664,89.8555,83.7019,12.7604,90.0246,0.89,359.64,24.21,84.6139,12.7759,89.6145,0.89,359.64,24.21,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
18.64,229.22,85.1166,9.7284,91.5464,7.33,100.00,25.41,0.39,34.77,359.50,0.66,85.2782,12.7491,91.8281,84.9303,12.7441,92.0045,0.74,359.61,25.41,85.8334,12.7570,91.5754,0.74,359.61,25.41,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
19.16,225.88,87.1294,9.7679,94.2405,6.51,100.00,27.15,0.22,42.40,359.94,359.42,87.3909,12.7860,94.4708,87.0485,12.7897,94.6576,359.45,359.78,27.15,87.9383,12.7802,94.2014,359.45,359.78,27.15,199.9127,6.8666,289.9238,0.00,100.00,179.01,-5.72,179.01,5.72,350.55
