Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.08,361.32,10.0000,7.9938,10.0000,-0.13,100.00,359.91,0.00,0.00,0.00,0.00,10.0071,11.0117,10.3499,9.6170,11.0117,10.3593,0.00,0.00,359.91,10.6170,11.0117,10.3608,0.00,0.00,359.91,250.0000,14.9894,280.0000,-0.29,100.00,180.00,0.00,180.00,0.00,0.00
0.14,361.31,10.0000,7.9908,10.0008,0.05,100.00,359.74,0.00,0.08,0.00,0.00,10.0076,11.0087,10.3507,9.6175,11.0087,10.3589,0.00,0.00,359.74,10.6175,11.0087,10.3635,0.00,0.00,359.74,250.0000,14.9266,280.0000,1.07,100.00,180.00,0.00,180.00,0.00,0.00
0.20,361.31,10.0000,7.9880,10.0102,0.16,100.00,359.98,0.00,0.32,0.00,0.00,10.0090,11.0059,10.3601,9.6190,11.0059,10.3699,0.00,0.00,359.98,10.6190,11.0059,10.3703,0.00,0.00,359.98,250.0000,14.8300,280.0000,1.61,100.00,180.00,0.00,180.00,0.00,0.00
0.26,361.30,10.0000,7.9858,10.0112,0.04,100.00,359.98,0.00,0.32,0.00,0.00,10.0090,11.0037,10.3610,9.6190,11.0037,10.3708,0.00,0.00,359.98,10.6190,11.0037,10.3712,0.00,0.00,359.98,250.0000,14.7014,280.0000,2.14,100.00,180.00,0.00,180.00,0.00,0.00
0.32,361.30,10.0000,7.9844,10.0112,0.02,100.00,1.60,0.00,0.32,0.00,0.00,10.0090,11.0023,10.3610,9.6195,11.0023,10.3819,0.00,0.00,1.60,10.6191,11.0023,10.3540,0.00,0.00,1.60,250.0000,14.5423,280.0000,2.65,100.00,180.00,0.00,180.00,0.00,0.00
0.38,361.29,10.0000,7.9804,10.0143,0.08,100.00,5.67,0.00,2.72,0.00,0.00,10.0237,10.9983,10.3634,9.6366,10.9983,10.4119,0.00,0.00,5.67,10.6317,10.9983,10.3131,0.00,0.00,5.67,250.0000,14.3468,280.0000,3.16,100.00,180.00,0.00,180.00,0.00,0.00
0.45,361.28,10.0004,7.9742,10.0208,0.14,100.00,8.15,0.00,5.20,0.00,0.00,10.0391,10.9921,10.3686,9.6544,10.9921,10.4338,0.00,0.00,8.15,10.6443,10.9921,10.2921,0.00,0.00,8.15,250.0000,14.1152,280.0000,3.66,100.00,180.00,0.00,180.00,0.00,0.00
0.51,361.27,10.0013,7.9961,10.0310,0.36,100.00,10.68,0.00,7.73,0.00,0.00,10.0553,11.0140,10.3767,9.6739,11.0140,10.4588,0.00,0.00,10.68,10.6566,11.0140,10.2735,0.00,0.00,10.68,250.0000,13.8395,280.0000,4.17,100.00,180.00,0.00,180.00,0.00,0.00
0.58,361.25,10.0032,7.9857,10.0452,0.27,100.00,14.48,0.00,10.38,0.00,0.00,10.0732,11.0036,10.3881,9.6980,11.0036,10.4954,0.00,0.00,14.48,10.6663,11.0036,10.2453,0.00,0.00,14.48,250.0000,13.5310,280.0000,4.67,100.00,180.00,0.00,180.00,0.00,0.00
0.65,361.23,10.0065,7.9763,10.0632,0.31,100.00,18.27,0.00,13.02,0.00,0.00,10.0922,10.9942,10.4025,9.7250,10.9942,10.5342,0.00,0.00,18.27,10.6745,10.9942,10.2207,0.00,0.00,18.27,250.0000,13.1948,280.0000,5.14,100.00,180.00,0.00,180.00,0.00,0.00
