Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.02,361.32,10.0000,8.0020,10.0000,-0.08,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,11.0199,10.3499,9.6170,11.0199,10.3599,0.00,0.00,0.00,10.6171,11.0199,10.3599,0.00,0.00,0.00,250.0000,14.9998,280.0000,-0.19,100.00,180.00,0.00,180.00,0.00,0.00
0.08,361.32,10.0000,7.9932,10.0000,0.15,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,11.0111,10.3499,9.6170,11.0111,10.3599,0.00,0.00,0.00,10.6171,11.0111,10.3599,0.00,0.00,0.00,250.0000,14.9775,280.0000,0.39,100.00,180.00,0.00,180.00,0.00,0.00
0.14,361.31,10.0000,7.9858,10.0000,0.12,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,11.0037,10.3499,9.6170,11.0037,10.3599,0.00,0.00,0.00,10.6171,11.0037,10.3599,0.00,0.00,0.00,250.0000,14.9199,280.0000,0.94,100.00,180.00,0.00,180.00,0.00,0.00
0.20,361.31,10.0000,7.9817,10.0000,0.07,100.00,0.00,0.00,0.00,0.00,0.00,10.0071,10.9996,10.3499,9.6170,10.9996,10.3599,0.00,0.00,0.00,10.6171,10.9996,10.3599,0.00,0.00,0.00,250.0000,14.8316,280.0000,1.50,100.00,180.00,0.00,180.00,0.00,0.00
0.26,361.31,10.0000,7.9993,10.0000,0.28,100.00,1.68,0.00,0.00,0.00,0.00,10.0071,11.0172,10.3499,9.6175,11.0172,10.3713,0.00,0.00,1.68,10.6171,11.0172,10.3420,0.00,0.00,1.68,250.0000,14.7026,280.0000,2.04,100.00,180.00,0.00,180.00,0.00,0.00
0.32,361.31,10.0000,7.9976,10.0029,0.06,100.00,5.84,0.00,2.53,0.00,0.00,10.0225,11.0155,10.3522,9.6355,11.0155,10.4018,0.00,0.00,5.84,10.6303,11.0155,10.3000,0.00,0.00,5.84,250.0000,14.5456,280.0000,2.57,100.00,180.00,0.00,180.00,0.00,0.00
0.38,361.30,10.0002,7.9959,10.0085,0.09,100.00,8.28,0.00,4.97,0.00,0.00,10.0376,11.0138,10.3564,9.6531,11.0138,10.4225,0.00,0.00,8.28,10.6427,11.0138,10.2785,0.00,0.00,8.28,250.0000,14.3580,280.0000,3.08,100.00,180.00,0.00,180.00,0.00,0.00
0.45,361.29,10.0010,7.9882,10.0166,0.17,100.00,10.72,0.00,7.41,0.00,0.00,10.0531,11.0061,10.3627,9.6717,11.0061,10.4450,0.00,0.00,10.72,10.6543,11.0061,10.2591,0.00,0.00,10.72,250.0000,14.1258,280.0000,3.59,100.00,180.00,0.00,180.00,0.00,0.00
0.51,361.27,10.0025,7.9813,10.0283,0.21,100.00,14.41,0.00,9.99,0.00,0.00,10.0701,10.9992,10.3717,9.6949,10.9992,10.4784,0.00,0.00,14.41,10.6634,10.9992,10.2296,0.00,0.00,14.41,250.0000,13.8641,280.0000,4.09,100.00,180.00,0.00,180.00,0.00,0.00
0.58,361.26,10.0050,7.9705,10.0427,0.27,100.00,18.11,0.00,12.55,0.00,0.00,10.0879,10.9884,10.3827,9.7204,10.9884,10.5134,0.00,0.00,18.11,10.6708,10.9884,10.2026,0.00,0.00,18.11,250.0000,13.5610,280.0000,4.58,100.00,180.00,0.00,180.00,0.00,0.00
0.65,361.23,10.0090,7.9912,10.0606,0.41,100.00,20.76,0.00,15.20,0.00,0.00,10.1075,11.0091,10.3964,9.7464,11.0091,10.5440,0.00,0.00,20.76,10.6815,11.0091,10.1896,0.00,0.00,20.76,250.0000,13.2180,280.0000,5.08,100.00,180.00,0.00,180.00,0.00,0.00
0.71,361.22,10.0110,7.9803,10.0679,0.20,100.00,20.76,0.00,15.20,0.00,0.00,10.1095,10.9982,10.4037,9.7484,10.9982,10.5513,0.00,0.00,20.76,10.6835,10.9982,10.1969,0.00,0.00,20.76,250.0000,12.8504,280.0000,5.55,100.00,180.00,0.00,180.00,0.00,0.00
0.78,361.22,10.0110,7.9923,10.0679,0.16,100.00,21.02,0.00,15.20,0.00,0.00,10.1095,11.0102,10.4037,9.7490,11.0102,10.5529,0.00,0.00,21.02,10.6825,11.0102,10.1943,0.00,0.00,21.02,250.0254,12.4688,279.9771,5.25,100.00,180.25,-1.48,180.25,1.48,2.72
0.85,361.21,10.0120,7.9792,10.0717,0.20,100.00,24.18,0.00,18.12,0.00,0.00,10.1275,10.9970,10.4020,9.7758,10.9970,10.5708,0.00,0.00,24.18,10.6881,10.9970,10.1613,0.00,0.00,24.18,250.0760,12.1863,279.9312,4.31,100.00,180.98,-5.02,180.98,5.02,9.48
0.92,361.18,10.0141,7.9957,10.0782,0.25,100.00,26.41,0.00,20.82,0.00,0.00,10.1451,11.0136,10.4027,9.8002,11.0136,10.5852,0.00,0.00,26.41,10.6959,11.0136,10.1404,0.00,0.00,26.41,250.0840,11.9598,279.8947,3.26,100.00,182.08,-9.60,182.08,9.60,13.72
0.99,361.12,10.0180,7.9764,10.0884,0.31,100.00,28.77,0.00,23.64,0.00,0.00,10.1648,10.9943,10.4060,9.8277,10.9943,10.6025,0.00,0.00,28.77,10.7043,10.9943,10.1213,0.00,0.00,28.77,250.0688,11.9949,279.8388,0.95,100.00,183.08,-13.92,183.08,13.92,11.94
1.06,361.09,10.0238,7.9965,10.1017,0.36,100.00,31.60,0.00,26.48,0.00,0.00,10.1861,11.0144,10.4117,9.8592,11.0144,10.6246,0.00,0.00,31.60,10.7109,11.0144,10.1006,0.00,0.00,31.60,250.0832,12.0581,279.8011,1.09,100.00,183.50,-15.69,183.50,15.69,12.08
1.13,361.06,10.0316,7.9800,10.1174,0.35,100.00,34.35,0.00,29.22,0.00,0.00,10.2086,10.9979,10.4193,9.8922,10.9979,10.6476,0.00,0.00,34.35,10.7179,10.9979,10.0834,0.00,0.00,34.35,250.0905,12.0896,279.7811,0.55,100.00,183.72,-16.59,183.72,16.59,12.14
1.20,361.04,10.0420,7.9950,10.1359,0.36,100.00,37.12,0.00,32.00,0.00,0.00,10.2334,11.0129,10.4289,9.9284,11.0129,10.6722,0.00,0.00,37.12,10.7258,11.0129,10.0687,0.00,0.00,37.12,250.0916,12.0954,279.7774,0.10,100.00,183.76,-16.75,183.76,16.75,12.15
1.27,361.02,10.0556,7.9824,10.1576,0.42,100.00,39.98,0.00,34.86,0.00,0.00,10.2613,11.0003,10.4407,9.9689,11.0003,10.6989,0.00,0.00,39.98,10.7352,11.0003,10.0564,0.00,0.00,39.98,250.0885,12.0797,279.7873,0.28,100.00,183.66,-16.30,183.66,16.30,12.12
1.34,361.00,10.0712,8.0017,10.1800,0.48,100.00,40.71,0.00,37.54,0.00,0.00,10.2900,11.0196,10.4531,10.0009,11.0196,10.7151,0.00,0.00,40.71,10.7589,11.0196,10.0628,0.00,0.00,40.71,250.0817,12.0456,279.8081,0.59,100.00,183.45,-15.34,183.45,15.34,12.06
1.41,360.98,10.0904,7.9880,10.2051,0.51,100.00,41.56,0.00,40.30,0.00,0.00,10.3221,11.0059,10.4673,10.0369,11.0059,10.7335,0.00,0.00,41.56,10.7852,11.0059,10.0701,0.00,0.00,41.56,250.0719,11.9966,279.8369,0.85,100.00,183.14,-13.96,183.14,13.96,12.01
