Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.54,286.15,0.0000,7.9876,0.0000,-79.80,100.00,0.00,0.00,0.00,0.00,0.00,0.0070,11.0055,0.3499,-0.3830,11.0055,0.3599,0.00,0.00,0.00,0.6170,11.0055,0.3599,0.00,0.00,0.00,59.0000,8.7069,280.0000,-93.51,100.00,180.00,0.00,180.00,0.00,0.00
1.04,286.15,0.0000,7.9814,0.0000,0.01,100.00,0.00,0.00,0.00,0.00,0.00,0.0070,10.9993,0.3499,-0.3830,10.9993,0.3599,0.00,0.00,0.00,0.6170,10.9993,0.3599,0.00,0.00,0.00,59.0000,8.6000,280.0000,0.21,100.00,180.00,0.00,180.00,0.00,0.00
1.54,286.15,0.0000,7.9801,0.0000,0.00,100.00,16.02,0.00,16.02,0.00,0.00,0.1033,10.9980,0.3344,-0.2688,10.9980,0.4516,0.00,0.00,16.02,0.6924,10.9980,0.1757,0.00,0.00,16.02,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
2.04,286.15,0.0000,7.9801,0.0001,0.00,100.00,36.02,0.00,36.02,0.00,0.00,0.2115,10.9980,0.2789,-0.0981,10.9980,0.5163,0.00,0.00,36.02,0.7107,10.9980,-0.0717,0.00,0.00,36.02,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
2.54,286.15,0.0000,7.9796,0.0001,0.00,100.00,43.36,0.00,43.36,0.00,0.00,0.2453,10.9975,0.2496,-0.0314,10.9975,0.5247,0.00,0.00,43.36,0.6957,10.9975,-0.1619,0.00,0.00,43.36,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
3.04,286.15,0.0000,7.9795,0.0001,0.00,100.00,44.35,0.00,44.35,0.00,0.00,0.2497,10.9974,0.2453,-0.0222,10.9974,0.5251,0.00,0.00,44.35,0.6928,10.9974,-0.1740,0.00,0.00,44.35,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
3.54,286.12,0.0206,7.9791,0.0208,0.06,100.00,44.82,0.00,44.82,0.00,0.00,0.2722,10.9970,0.2640,0.0026,10.9970,0.5460,0.00,0.00,44.82,0.7119,10.9970,-0.1589,0.00,0.00,44.82,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
4.04,285.96,0.1577,7.9789,0.1587,0.39,100.00,44.82,0.00,44.82,0.00,0.00,0.4093,10.9968,0.4020,0.1397,10.9968,0.6840,0.00,0.00,44.82,0.8490,10.9968,-0.0209,0.00,0.00,44.82,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
4.58,285.62,0.4455,7.9907,0.4484,0.77,100.00,44.82,0.00,44.82,0.00,0.00,0.6971,11.0086,0.6916,0.4275,11.0086,0.9736,0.00,0.00,44.82,1.1368,11.0086,0.2687,0.00,0.00,44.82,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
5.08,285.14,0.8481,7.9906,0.8535,1.14,100.00,44.82,0.00,44.82,0.00,0.00,1.0997,11.0085,1.0967,0.8301,11.0085,1.3787,0.00,0.00,44.82,1.5395,11.0085,0.6738,0.00,0.00,44.82,59.0000,8.6000,280.0000,0.00,100.00,180.00,0.00,180.00,0.00,0.00
