Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.51,286.15,0.0000,9.4229,0.0000,127.19,100.00,0.00,0.00,0.00,0.00,0.00,0.0070,12.4408,0.3499,-0.3830,12.4408,0.3599,0.00,0.00,0.00,0.6170,12.4408,0.3599,0.00,0.00,0.00,59.0000,8.8614,280.0000,149.05,100.00,180.00,0.00,180.00,0.00,0.00
1.04,286.14,0.0000,6.0010,0.0000,6.46,100.00,17.90,0.00,17.90,0.00,0.00,0.1142,9.0189,0.3308,-0.2538,9.0189,0.4602,0.00,0.00,17.90,0.6978,9.0189,0.1529,0.00,0.00,17.90,58.9326,7.8127,280.0000,1.98,100.00,179.97,0.11,179.97,359.89,353.38
1.55,286.14,0.0000,5.9944,0.0000,0.01,100.00,38.46,0.00,38.46,0.00,0.00,0.2231,9.0123,0.2696,-0.0760,9.0123,0.5200,0.00,0.00,38.46,0.7070,9.0123,-0.1019,0.00,0.00,38.46,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
2.08,286.14,0.0000,5.9710,0.0000,0.04,100.00,46.80,0.00,46.80,0.00,0.00,0.2599,8.9889,0.2344,0.0002,8.9889,0.5256,0.00,0.00,46.80,0.6848,8.9889,-0.2034,0.00,0.00,46.80,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
2.59,286.14,0.0000,5.9824,0.0001,0.02,100.00,46.73,0.00,46.73,0.00,0.00,0.2596,9.0003,0.2347,-0.0004,9.0003,0.5256,0.00,0.00,46.73,0.6850,9.0003,-0.2026,0.00,0.00,46.73,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
3.10,286.14,0.0001,5.9742,0.0001,0.02,100.00,45.73,0.00,45.73,0.00,0.00,0.2555,8.9921,0.2393,-0.0096,8.9921,0.5255,0.00,0.00,45.73,0.6885,8.9921,-0.1905,0.00,0.00,45.73,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
3.61,286.13,0.0110,5.9952,0.0110,0.05,100.00,45.09,0.00,45.09,0.00,0.00,0.2637,9.0131,0.2530,-0.0045,9.0131,0.5363,0.00,0.00,45.09,0.7015,9.0131,-0.1719,0.00,0.00,45.09,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
4.12,285.98,0.1397,5.9975,0.1393,0.35,100.00,45.09,0.00,45.09,0.00,0.00,0.3925,9.0154,0.3813,0.1242,9.0154,0.6646,0.00,0.00,45.09,0.8302,9.0154,-0.0436,0.00,0.00,45.09,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
4.64,285.66,0.4049,6.0029,0.4037,0.72,100.00,45.09,0.00,45.09,0.00,0.00,0.6577,9.0207,0.6457,0.3894,9.0207,0.9289,0.00,0.00,45.09,1.0954,9.0207,0.2207,0.00,0.00,45.09,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
5.16,285.19,0.8079,5.9740,0.8054,1.10,100.00,45.09,0.00,45.09,0.00,0.00,1.0606,8.9919,1.0474,0.7924,8.9919,1.3307,0.00,0.00,45.09,1.4984,8.9919,0.6225,0.00,0.00,45.09,58.9326,7.8127,280.0000,0.00,100.00,179.97,0.11,179.97,359.89,353.38
