Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
0.50,286.15,0.0000,7.9980,0.0000,129.95,100.00,0.00,0.00,0.00,0.00,0.00,0.0070,11.0159,0.3499,-0.3830,11.0159,0.3599,0.00,0.00,0.00,0.6170,11.0159,0.3599,0.00,0.00,0.00,59.0000,8.9083,280.0000,152.28,100.00,180.00,0.00,180.00,0.00,0.00
1.04,286.15,0.0000,7.9978,0.0000,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.0070,11.0157,0.3499,-0.3830,11.0157,0.3599,0.00,0.00,0.00,0.6170,11.0157,0.3599,0.00,0.00,0.00,59.0068,6.6240,279.9999,4.23,100.00,180.00,0.03,180.00,359.97,0.68
1.57,286.15,0.0000,7.9782,0.0000,0.04,100.00,16.85,0.00,16.85,0.00,0.00,0.1081,10.9961,0.3329,-0.2622,10.9961,0.4555,0.00,0.00,16.85,0.6949,10.9961,0.1656,0.00,0.00,16.85,58.9994,6.6040,279.9995,0.04,100.00,180.00,0.00,180.00,0.00,0.00
2.10,286.15,0.0000,7.9726,0.0001,0.01,100.00,37.40,0.00,37.40,0.00,0.00,0.2181,10.9905,0.2737,-0.0856,10.9905,0.5186,0.00,0.00,37.40,0.7088,10.9905,-0.0889,0.00,0.00,37.40,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
2.64,286.15,0.0000,7.9756,0.0001,0.01,100.00,45.62,0.00,45.62,0.00,0.00,0.2550,10.9935,0.2398,-0.0106,10.9935,0.5255,0.00,0.00,45.62,0.6888,10.9935,-0.1892,0.00,0.00,45.62,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
3.17,286.12,0.0299,7.9768,0.0289,0.08,100.00,46.06,0.00,46.06,0.00,0.00,0.2868,10.9947,0.2666,0.0233,10.9947,0.5544,0.00,0.00,46.06,0.7172,10.9947,-0.1657,0.00,0.00,46.06,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
3.72,286.02,0.1159,7.9754,0.1118,0.22,100.00,45.52,0.00,45.52,0.00,0.00,0.3705,10.9933,0.3519,0.1043,10.9933,0.6372,0.00,0.00,45.52,0.8050,10.9933,-0.0763,0.00,0.00,45.52,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
4.22,286.00,0.1322,7.9702,0.1282,0.05,100.00,44.96,0.00,44.96,0.00,0.00,0.3845,10.9881,0.3707,0.1156,10.9881,0.6534,0.00,0.00,44.96,0.8231,10.9881,-0.0532,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
4.72,285.84,0.2630,7.9985,0.2591,0.37,100.00,44.96,0.00,44.96,0.00,0.00,0.5152,11.0164,0.5017,0.2463,11.0164,0.7844,0.00,0.00,44.96,0.9539,11.0164,0.0777,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
5.23,285.53,0.5263,7.9823,0.5227,0.73,100.00,44.96,0.00,44.96,0.00,0.00,0.7785,11.0002,0.7653,0.5096,11.0002,1.0480,0.00,0.00,44.96,1.2172,11.0002,0.3413,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
5.73,285.07,0.9188,7.9790,0.9158,1.11,100.00,44.96,0.00,44.96,0.00,0.00,1.1710,10.9969,1.1584,0.9022,10.9969,1.4411,0.00,0.00,44.96,1.6097,10.9969,0.7344,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
6.24,284.45,1.4429,7.9744,1.4406,1.48,100.00,44.96,0.00,44.96,0.00,0.00,1.6952,10.9923,1.6832,1.4263,10.9923,1.9659,0.00,0.00,44.96,2.1339,10.9923,1.2592,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
6.76,283.64,2.1260,7.9701,2.1245,1.85,100.00,44.96,0.00,44.96,0.00,0.00,2.3782,10.9880,2.3671,2.1093,10.9880,2.6498,0.00,0.00,44.96,2.8169,10.9880,1.9431,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
7.28,282.68,2.9410,7.9750,2.9407,2.23,100.00,44.96,0.00,44.96,0.00,0.00,3.1933,10.9929,3.1832,2.9244,10.9929,3.4659,0.00,0.00,44.96,3.6319,10.9929,2.7592,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
7.80,281.53,3.9121,7.9984,3.9130,2.61,100.00,44.96,0.00,44.96,0.00,0.00,4.1644,11.0163,4.1556,3.8955,11.0163,4.4382,0.00,0.00,44.96,4.6030,11.0163,3.7316,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
8.32,280.23,5.0154,7.9954,5.0176,2.99,100.00,44.96,0.00,44.96,0.00,0.00,5.2676,11.0133,5.2602,4.9987,11.0133,5.5428,0.00,0.00,44.96,5.7063,11.0133,4.8362,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
8.85,279.72,5.4505,7.9852,5.4533,1.17,100.00,44.96,0.00,44.96,0.00,0.00,5.7027,11.0031,5.6958,5.4338,11.0031,5.9785,0.00,0.00,44.96,6.1414,11.0031,5.2719,0.00,0.00,44.96,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
9.38,279.72,5.4505,7.9719,5.4533,0.03,100.00,57.24,0.00,57.24,0.00,0.00,5.7485,10.9898,5.6367,5.5459,10.9898,5.9701,0.00,0.00,57.24,6.0870,10.9898,5.1291,0.00,0.00,57.24,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
9.89,279.72,5.4505,7.9910,5.4533,0.04,100.00,77.76,0.00,77.76,0.00,0.00,5.7939,11.0089,5.5206,5.7210,11.0089,5.9038,0.00,0.00,77.76,5.9330,11.0089,4.9266,0.00,0.00,77.76,58.9994,6.6040,279.9995,0.00,100.00,180.00,0.00,180.00,0.00,0.00
